Time,Altitude,Velocity,Drogue_Deployed,Main_Deployed
0.00833333,10.5,0.267915,0,0
0.0166667,10.4957,0.53583,0,0
0.025,10.4901,0.803744,0,0
0.0333333,10.4823,1.07166,0,0
0.0416667,10.4723,1.33957,0,0
0.05,10.46,1.60749,0,0
0.0583333,10.4455,1.8754,0,0
0.0666667,10.4287,2.14331,0,0
0.075,10.4098,2.41122,0,0
0.0833333,10.3886,2.27382,0,0
0.0916667,10.3716,1.81927,0,0
0.1,10.3594,1.0835,0,0
0.108333,10.3544,0.0897757,0,0
0.116667,10.3587,1.1332,0,0
0.125,10.3741,2.55227,0,0
0.133333,10.4019,4.13095,0,0
0.141667,10.4435,5.83055,0,0
0.15,10.4996,7.61129,0,0
0.158333,10.5707,9.43338,0,0
0.166667,10.657,11.258,0,0
0.175,10.7585,13.0479,0,0
0.183333,10.8745,14.7951,0,0
0.191667,11.005,16.5092,0,0
0.2,11.1496,18.1909,0,0
0.208333,11.3081,19.8407,0,0
0.216667,11.4802,21.4666,0,0
0.225,11.6657,23.1272,0,0
0.233333,11.8655,24.8021,0,0
0.241667,12.0792,26.4915,0,0
0.25,12.3071,28.1955,0,0
0.258333,12.5492,29.9143,0,0
0.266667,12.8057,31.6478,0,0
0.275,13.0767,33.3963,0,0
0.283333,13.3623,35.1599,0,0
0.291667,13.6627,36.9386,0,0
0.3,13.978,38.7326,0,0
0.308333,14.3083,40.5419,0,0
0.316667,14.6538,42.3668,0,0
0.325,15.0145,44.2022,0,0
0.333333,15.3905,46.0399,0,0
0.341667,15.7819,47.8832,0,0
0.35,16.1886,49.7322,0,0
0.358333,16.6108,51.5869,0,0
0.366667,17.0484,53.4472,0,0
0.375,17.5016,55.3132,0,0
0.383333,17.9703,57.1849,0,0
0.391667,18.4547,59.0623,0,0
0.4,18.9547,60.9455,0,0
0.408333,19.4704,62.8345,0,0
0.416667,20.002,64.7292,0,0
0.425,20.5493,66.6297,0,0
0.433333,21.1125,68.5361,0,0
0.441667,21.6916,70.4484,0,0
0.45,22.2866,72.3666,0,0
0.458333,22.8977,74.2907,0,0
0.466667,23.5248,76.2207,0,0
0.475,24.1681,78.1567,0,0
0.483333,24.8275,80.0986,0,0
0.491667,25.5031,82.0465,0,0
0.5,26.1949,84.0004,0,0
0.508333,26.9031,85.9603,0,0
0.516667,27.6276,87.9262,0,0
0.525,28.3686,89.8942,0,0
0.533333,29.1259,91.8615,0,0
0.541667,29.8996,93.8295,0,0
0.55,30.6897,95.7983,0,0
0.558333,31.4963,97.7678,0,0
0.566667,32.3192,99.738,0,0
0.575,33.1586,101.709,0,0
0.583333,34.0144,103.681,0,0
0.591667,34.8866,105.653,0,0
0.6,35.7752,107.626,0,0
0.608333,36.6804,109.6,0,0
0.616667,37.6019,111.574,0,0
0.625,38.5399,113.554,0,0
0.633333,39.4945,115.538,0,0
0.641667,40.4656,117.525,0,0
0.65,41.4533,119.517,0,0
0.658333,42.4576,121.513,0,0
0.666667,43.4785,123.512,0,0
0.675,44.5161,125.516,0,0
0.683333,45.5705,127.523,0,0
0.691667,46.6415,129.535,0,0
0.7,47.7294,131.55,0,0
0.708333,48.8341,133.57,0,0
0.716667,49.9556,135.592,0,0
0.725,51.094,137.618,0,0
0.733333,52.2492,139.646,0,0
0.741667,53.4214,141.677,0,0
0.75,54.6105,143.711,0,0
0.758333,55.8166,145.748,0,0
0.766667,57.0397,147.788,0,0
0.775,58.2798,149.831,0,0
0.783333,59.5369,151.877,0,0
0.791667,60.8111,153.926,0,0
0.8,62.1024,155.978,0,0
0.808333,63.4107,158.033,0,0
0.816667,64.7363,160.091,0,0
0.825,66.0789,162.152,0,0
0.833333,67.4388,164.215,0,0
